You want weapons? We're in a library. Books are the best weapon in the world. This room's the greatest arsenal we could have. Arm yourself!,The Doctor
"We're all stories in the end. Just make it a good one, eh?",The Doctor
"One glance at a book and you hear the voice of another person, perhaps someone dead for 1,000 years. To read is to voyage through time.",Carl Sagan
"Outside of a dog, a book is a man’s best friend. Inside of a dog, it’s too dark to read.",Groucho Marx
Rainy days should be spent at home with a cup of tea and a good book.,Bill Patterson
"Fairy tales are more than true: not because they tell us that dragons 
exist, but because they tell us that dragons can be beaten.",Neil Gaiman
There is more treasure in books than in all the pirate’s loot on Treasure Island.,Walt Disney
"A great book should leave you with many experiences, and slightly exhausted at the end. You live several lives while reading.",William Styron
Books are a uniquely portable magic.,Stephen King
"If you would tell me the heart of a man, tell me not what he reads, but what he rereads",Francois Mauriac
A children’s story that can only be enjoyed by children is not a good children’s story in the slightest.,C.S. Lewis
A book is a dream you hold in your hands.,Neil Gaiman
The worst thing about new books is that they keep us from reading the old ones.,Joseph Joubert
Never trust anyone who has not brought a book with them.,Lemony Snicket
You know you’ve read a good book when you turn the last page and feel a little as if you have lost a friend,Paul Sweeney
Happiness. That’s what books smells like. Happiness. That’s why I always wanted to have a book shop. What better life than to trade in happiness?,Sarah MacLean
"Books should go where they will be most appreciated, and not sit unread, gathering dust on a forgotten shelf, don’t you agree?",Christopher Paolini
Books are no more threatened by Kindle than stairs by elevators.,Stephen Fry
"Writing comes from reading, and reading is the finest teacher of how to write.",Annie Proulx
Reading brings us unknown friends.,Honore de Belzac
"My alma mater was books, a good library…. I could spend the rest of my life reading, just satisfying my curiosity.",Malcolm X
"Reading makes immigrants of us all. It takes us away from home, but more important, it finds homes for us everywhere",Jean Rhys
"We read in bed because reading is halfway between life and dreaming, our own consciousness in someone else’s mind.",Anna Quindlen
"Read the best books first, or you may not have a chance to read them at all.",Henry David Thoreau
Reading is to the mind what exercise is to the body,Joseph Addison
"Until I feared I would lose it, I never loved to read. One does not love breathing.",Harper Lee
"No entertainment is so cheap as reading, nor any pleasure so lasting",Mary Wortley Montagu
"A capacity, and taste, for reading gives access to whatever has already been discovered by others.",Abraham Lincoln
"The unread story is not a story; it is little black marks on wood pulp. The reader, reading it, makes it live: a live thing, a story.",Ursula K. LeGuin
"Let us read, and let us dance; these two amusements will never do any harm to the world.",Voltaire
Think before you speak. Read before you think.,Fran Lebowitz
Always read something that will make you look good if you die in the middle of it.,P.J. O'Rourke
You don’t have to burn books to destroy a culture. Just get people to stop reading them.,Ray Bradbury
A reader lives a thousand lives before he dies… the man who never reads lives only one.,George R.R. Martin
Classic′ – a book which people praise and don’t read.,Mark Twain
